Date,Open,High,Low,Close,Adj Close,Volume,Day,Month,Quarter,Year
21-Aug-18,695,698,686.875,691.974976,598.451782,8361482,21,8,3,2018
23-Aug-18,696.5,700.75,692.674988,698.700012,604.2677,7717182,23,8,3,2018
24-Aug-18,698.25,700.950012,688.049988,689.150024,596.008606,7053000,24,8,3,2018
27-Aug-18,691.5,709.974976,690.700012,707.700012,612.051453,7012950,27,8,3,2018
28-Aug-18,708.599976,719.200012,705.75,712.349976,616.072937,6496890,28,8,3,2018
29-Aug-18,716.799988,716.799988,702.575012,705.049988,609.759521,5646496,29,8,3,2018
30-Aug-18,706.400024,710.775024,698.075012,708.099976,612.3974,11507962,30,8,3,2018
31-Aug-18,712.549988,727.150024,710.549988,720.549988,623.164551,10875864,31,8,3,2018
03-Sep-18,724.5,733.950012,715,717.125,620.202637,10976328,3,9,3,2018
04-Sep-18,722,748.5,716,737.150024,637.521118,15370124,4,9,3,2018
05-Sep-18,741.950012,744.049988,725.400024,729.900024,631.250916,8658978,5,9,3,2018
06-Sep-18,732.549988,735.5,724.099976,727.150024,628.872803,5598659,6,9,3,2018
07-Sep-18,734.349976,735.150024,723.799988,732.799988,633.759033,6510605,7,9,3,2018
10-Sep-18,737.75,747,729.400024,730.849976,632.072571,5629871,10,9,3,2018
11-Sep-18,735.900024,744.75,732,734.299988,635.056274,6963561,11,9,3,2018
12-Sep-18,744.400024,746.5,736.25,742.900024,642.494141,4636617,12,9,3,2018
14-Sep-18,741.900024,745,729.049988,733.700012,634.537292,7896514,14,9,3,2018
17-Sep-18,735,740,724.599976,725.950012,627.834839,5427054,17,9,3,2018
18-Sep-18,730,730,717,719.099976,621.910645,7729732,18,9,3,2018
19-Sep-18,727,727,713.200012,719.75,622.472839,4849498,19,9,3,2018
21-Sep-18,713.849976,717.400024,692,705.299988,609.975769,14350769,21,9,3,2018
24-Sep-18,706.5,729.950012,706.5,718.25,621.175537,8637881,24,9,3,2018
25-Sep-18,718.25,736,717,726.200012,628.051086,9602273,25,9,3,2018
26-Sep-18,731.200012,731.849976,712,717.849976,620.829651,6599606,26,9,3,2018
27-Sep-18,722,730.799988,717.450012,724.799988,626.84021,14592616,27,9,3,2018
28-Sep-18,721,734.549988,715.200012,730.049988,631.380798,7490031,28,9,3,2018
01-Oct-18,737.5,754.900024,733,746.650024,645.737122,8252398,1,10,4,2018
03-Oct-18,743.799988,751.950012,726.299988,728.5,630.040222,7792464,3,10,4,2018
04-Oct-18,728.5,729.75,702.5,707.200012,611.61908,6173037,4,10,4,2018
05-Oct-18,713,731.5,709.299988,724.599976,626.667175,8543578,5,10,4,2018
08-Oct-18,725.049988,728.700012,709.25,714.450012,617.889038,7259306,8,10,4,2018
09-Oct-18,717.099976,722.400024,702.650024,717.75,620.743103,6777212,9,10,4,2018
10-Oct-18,719.900024,719.900024,695.400024,700.450012,605.781372,8866251,10,10,4,2018
11-Oct-18,685,692.900024,663.299988,673.349976,582.343933,10985897,11,10,4,2018
12-Oct-18,676.400024,684.049988,661.5,678.799988,587.057495,8909221,12,10,4,2018
15-Oct-18,688.599976,705,681.5,698.799988,604.354248,6222176,15,10,4,2018
16-Oct-18,710,713.900024,689.400024,695.25,601.284058,11588963,16,10,4,2018
17-Oct-18,710,721.799988,701.349976,705.349976,610.018921,20360697,17,10,4,2018
19-Oct-18,687,687.700012,678,683.549988,591.165344,10421001,19,10,4,2018
22-Oct-18,688.700012,695.049988,673.799988,679.950012,588.051941,6672840,22,10,4,2018
23-Oct-18,675.950012,682,653.299988,657.599976,568.722656,9041701,23,10,4,2018
24-Oct-18,663,666.5,647.150024,649.799988,561.976746,7058164,24,10,4,2018
25-Oct-18,643,656.349976,636.25,648.75,567.178711,8270469,25,10,4,2018
26-Oct-18,645.299988,648.700012,629.900024,633.599976,553.933594,5464141,26,10,4,2018
29-Oct-18,633.700012,650.549988,631.5,644.75,563.681641,7137446,29,10,4,2018
30-Oct-18,641.099976,663.799988,637.450012,659.599976,576.664429,8793411,30,10,4,2018
31-Oct-18,663.900024,692.950012,663.049988,686.400024,600.094727,11947995,31,10,4,2018
01-Nov-18,689.700012,689.700012,659.599976,666.700012,582.871765,5860244,1,11,4,2018
02-Nov-18,665.950012,675.799988,660.099976,662.25,578.981323,6654067,2,11,4,2018
05-Nov-18,663.5,668.599976,657,666,582.259705,5799426,5,11,4,2018
06-Nov-18,667.900024,675,660.650024,666.450012,582.653137,6975525,6,11,4,2018
07-Nov-18,673,677.5,672,675.5,590.565247,758956,7,11,4,2018
09-Nov-18,679,679,655.5,659.5,576.577026,9694143,9,11,4,2018
12-Nov-18,666,676.400024,662.299988,664.200012,580.686096,7118080,12,11,4,2018
13-Nov-18,663.5,667.75,656.299988,665.700012,581.997437,4137808,13,11,4,2018
14-Nov-18,665.700012,665.700012,640.5,653.200012,571.069153,7323026,14,11,4,2018
15-Nov-18,654,666,646.700012,656.400024,573.866882,5513390,15,11,4,2018
16-Nov-18,659.900024,662.5,644.200012,650.849976,569.014526,8583785,16,11,4,2018
19-Nov-18,659,662,649.25,651.700012,569.75769,6018930,19,11,4,2018
20-Nov-18,651.700012,656,640.099976,641.400024,560.752991,5384830,20,11,4,2018
21-Nov-18,640,640.049988,612.099976,619.099976,541.256714,14359086,21,11,4,2018
22-Nov-18,622.25,628.150024,616.75,620.75,542.699219,6632975,22,11,4,2018
26-Nov-18,621,628,599.849976,621.450012,543.311279,15075209,26,11,4,2018
27-Nov-18,625.5,641,625.299988,638.900024,558.567322,12285851,27,11,4,2018
28-Nov-18,640.950012,668.700012,640,666.400024,582.609375,17719890,28,11,4,2018
29-Nov-18,671,674.900024,658.799988,661.049988,577.932251,13399070,29,11,4,2018
30-Nov-18,661,672,660.950012,667.450012,583.527405,10445773,30,11,4,2018
03-Dec-18,673.150024,679,665.950012,670.349976,586.062744,8260890,3,12,4,2018
04-Dec-18,672.549988,688.25,671.299988,685.25,599.089355,7827923,4,12,4,2018
05-Dec-18,683,683.650024,672.5,681.400024,595.723511,5177288,5,12,4,2018
06-Dec-18,676.099976,685.450012,664.549988,668.5,584.445374,8039771,6,12,4,2018
07-Dec-18,672,685.75,665.599976,682.799988,596.947449,5553948,7,12,4,2018
10-Dec-18,669.900024,683.799988,665.200012,669.200012,585.057373,5121196,10,12,4,2018
11-Dec-18,669.200012,681.900024,660.599976,674.5,589.690979,7120933,11,12,4,2018
12-Dec-18,677.099976,680.650024,670.599976,678.5,593.188049,6926183,12,12,4,2018
13-Dec-18,682,700,680,697.75,610.017578,7521474,13,12,4,2018
14-Dec-18,697.450012,713.700012,694.400024,706.049988,617.273987,9560576,14,12,4,2018
17-Dec-18,711.849976,711.849976,692.75,694.400024,607.088867,4778465,17,12,4,2018
18-Dec-18,686.5,686.5,674.549988,676.599976,591.526978,8021298,18,12,4,2018
19-Dec-18,671.549988,671.549988,661.099976,664.849976,581.254395,8295459,19,12,4,2018
20-Dec-18,660,671.549988,656.400024,667.049988,583.177734,11705260,20,12,4,2018
21-Dec-18,659.5,659.5,643.450012,646.200012,564.949402,12802132,21,12,4,2018
24-Dec-18,657,658.799988,647.599976,649,567.397278,8379825,24,12,4,2018
26-Dec-18,647,647,637.349976,644.049988,563.069641,6178552,26,12,4,2018
27-Dec-18,652.75,663.25,649,656.799988,574.216431,15333902,27,12,4,2018
28-Dec-18,663.349976,663.5,653.299988,656.950012,574.347717,4736598,28,12,4,2018
31-Dec-18,660,662,655.799988,658.950012,576.096191,3373319,31,12,4,2018
01-Jan-19,660.950012,666.299988,654.150024,665.049988,581.429138,2943390,1,1,1,2019
02-Jan-19,666,674,662.049988,669.049988,584.92627,7416655,2,1,1,2019
03-Jan-19,672,677,663.099976,669.150024,585.013672,6827249,3,1,1,2019
04-Jan-19,671.75,673.900024,651,661.049988,577.932251,7889310,4,1,1,2019
07-Jan-19,665,673.599976,661.5,671.700012,587.243103,8046340,7,1,1,2019
08-Jan-19,674.950012,677.450012,668.549988,670.049988,585.800476,8621545,8,1,1,2019
09-Jan-19,686.200012,689.799988,664,676.099976,591.089905,18130292,9,1,1,2019
10-Jan-19,681.599976,682,672.549988,679.700012,594.237061,9572493,10,1,1,2019
11-Jan-19,680.200012,685.5,672.5,683.5,597.559326,12281903,11,1,1,2019
14-Jan-19,707,710.200012,695.950012,701.900024,613.645813,19312937,14,1,1,2019
15-Jan-19,707.200012,730,707.200012,726.599976,635.240173,19671304,15,1,1,2019
16-Jan-19,729.900024,737.799988,728.5,736.799988,644.157593,9658944,16,1,1,2019
17-Jan-19,735.799988,739,729.099976,733.349976,641.141296,6903771,17,1,1,2019
18-Jan-19,730,736.200012,726.299988,730.950012,639.043152,5902151,18,1,1,2019
21-Jan-19,738.200012,751,734,745,651.326599,8129422,21,1,1,2019
22-Jan-19,741.25,749,734,745.349976,651.632629,6723375,22,1,1,2019
23-Jan-19,742.349976,742.599976,729.200012,731.650024,639.655212,7212099,23,1,1,2019
24-Jan-19,728.099976,736.099976,721,732,643.479126,7429783,24,1,1,2019
25-Jan-19,728,737.900024,724.25,730.349976,642.028625,5543112,25,1,1,2019
28-Jan-19,731,732.599976,719,727.950012,639.918823,7944693,28,1,1,2019
29-Jan-19,725.5,732.849976,716.5,727.900024,639.875,6760819,29,1,1,2019
30-Jan-19,727.900024,734.799988,721.099976,725.900024,638.11676,5763026,30,1,1,2019
31-Jan-19,726,751.299988,726,749.549988,658.906738,13825233,31,1,1,2019
01-Feb-19,751.349976,762.5,744.5,757.049988,665.499939,6276585,1,2,1,2019
04-Feb-19,757,762.5,749.200012,755.900024,664.489014,3945391,4,2,1,2019
